Time,NYISO
2011-07-07 01:00:00-04:00,18981.0
2011-07-07 02:00:00-04:00,18151.0
2011-07-07 03:00:00-04:00,17619.0
2011-07-07 04:00:00-04:00,17519.0
2011-07-07 05:00:00-04:00,17904.0
2011-07-07 06:00:00-04:00,19133.0
2011-07-07 07:00:00-04:00,19932.0
2011-07-07 08:00:00-04:00,23296.0
2011-07-07 09:00:00-04:00,24881.0
2011-07-07 10:00:00-04:00,26196.0
2011-07-07 11:00:00-04:00,27112.0
2011-07-07 12:00:00-04:00,27755.0
2011-07-07 13:00:00-04:00,28283.0
2011-07-07 14:00:00-04:00,28527.0
2011-07-07 15:00:00-04:00,28604.0
2011-07-07 16:00:00-04:00,28301.0
2011-07-07 17:00:00-04:00,27772.0
2011-07-07 18:00:00-04:00,26903.0
2011-07-07 19:00:00-04:00,25968.0
2011-07-07 20:00:00-04:00,25445.0
2011-07-07 21:00:00-04:00,25266.0
2011-07-07 22:00:00-04:00,23778.0
2011-07-07 23:00:00-04:00,21844.0
2011-07-08 00:00:00-04:00,20045.0
2011-07-08 01:00:00-04:00,18846.0
2011-07-08 02:00:00-04:00,18009.0
2011-07-08 03:00:00-04:00,17581.0
2011-07-08 04:00:00-04:00,17530.0
2011-07-08 05:00:00-04:00,17962.0
2011-07-08 06:00:00-04:00,19137.0
2011-07-08 07:00:00-04:00,20943.0
2011-07-08 08:00:00-04:00,22489.0
2011-07-08 09:00:00-04:00,23931.0
2011-07-08 10:00:00-04:00,25059.0
2011-07-08 11:00:00-04:00,26221.0
2011-07-08 12:00:00-04:00,26733.0
2011-07-08 13:00:00-04:00,26975.0
2011-07-08 14:00:00-04:00,27122.0
2011-07-08 15:00:00-04:00,26883.0
2011-07-08 16:00:00-04:00,26480.0
2011-07-08 17:00:00-04:00,25901.0
2011-07-08 18:00:00-04:00,24992.0
2011-07-08 19:00:00-04:00,24133.0
2011-07-08 20:00:00-04:00,23486.0
2011-07-08 21:00:00-04:00,23084.0
2011-07-08 22:00:00-04:00,21910.0
2011-07-08 23:00:00-04:00,20324.0
2011-07-09 00:00:00-04:00,18707.0
2011-07-09 01:00:00-04:00,17618.0
2011-07-09 02:00:00-04:00,16843.0
2011-07-09 03:00:00-04:00,16372.0
2011-07-09 04:00:00-04:00,16146.0
2011-07-09 05:00:00-04:00,16004.0
2011-07-09 06:00:00-04:00,16185.0
2011-07-09 07:00:00-04:00,17409.0
2011-07-09 08:00:00-04:00,19098.0
2011-07-09 09:00:00-04:00,20733.0
2011-07-09 10:00:00-04:00,22038.0
2011-07-09 11:00:00-04:00,22976.0
2011-07-09 12:00:00-04:00,23435.0
2011-07-09 13:00:00-04:00,23673.0
2011-07-09 14:00:00-04:00,23892.0
2011-07-09 15:00:00-04:00,24098.0
2011-07-09 16:00:00-04:00,24285.0
2011-07-09 17:00:00-04:00,24328.0
2011-07-09 18:00:00-04:00,23947.0
2011-07-09 19:00:00-04:00,23129.0
2011-07-09 20:00:00-04:00,22376.0
2011-07-09 21:00:00-04:00,22348.0
2011-07-09 22:00:00-04:00,21281.0
2011-07-09 23:00:00-04:00,19855.0
2011-07-10 00:00:00-04:00,18385.0
2011-07-10 01:00:00-04:00,17254.0
2011-07-10 02:00:00-04:00,16413.0
2011-07-10 03:00:00-04:00,15819.0
2011-07-10 04:00:00-04:00,15484.0
2011-07-10 05:00:00-04:00,15214.0
2011-07-10 06:00:00-04:00,15196.0
2011-07-10 07:00:00-04:00,16082.0
2011-07-10 08:00:00-04:00,17433.0
2011-07-10 09:00:00-04:00,18899.0
2011-07-10 10:00:00-04:00,20266.0
2011-07-10 11:00:00-04:00,21427.0
2011-07-10 12:00:00-04:00,22265.0
2011-07-10 13:00:00-04:00,22753.0
2011-07-10 14:00:00-04:00,23123.0
2011-07-10 15:00:00-04:00,23563.0
2011-07-10 16:00:00-04:00,23993.0
2011-07-10 17:00:00-04:00,24177.0
2011-07-10 18:00:00-04:00,24056.0
2011-07-10 19:00:00-04:00,23584.0
2011-07-10 20:00:00-04:00,23326.0
2011-07-10 21:00:00-04:00,23577.0
2011-07-10 22:00:00-04:00,22615.0
2011-07-10 23:00:00-04:00,20969.0
2011-07-11 00:00:00-04:00,19451.0
2011-07-11 01:00:00-04:00,18351.0
2011-07-11 02:00:00-04:00,17663.0
2011-07-11 03:00:00-04:00,17244.0
2011-07-11 04:00:00-04:00,17300.0
2011-07-11 05:00:00-04:00,17837.0
2011-07-11 06:00:00-04:00,19067.0
2011-07-11 07:00:00-04:00,21330.0
2011-07-11 08:00:00-04:00,23493.0
2011-07-11 09:00:00-04:00,25347.0
2011-07-11 10:00:00-04:00,27009.0
2011-07-11 11:00:00-04:00,28345.0
2011-07-11 12:00:00-04:00,29167.0
2011-07-11 13:00:00-04:00,30015.0
2011-07-11 14:00:00-04:00,30424.0
2011-07-11 15:00:00-04:00,30605.0
2011-07-11 16:00:00-04:00,30722.0
2011-07-11 17:00:00-04:00,30554.0
2011-07-11 18:00:00-04:00,29820.0
2011-07-11 19:00:00-04:00,28988.0
2011-07-11 20:00:00-04:00,28537.0
2011-07-11 21:00:00-04:00,28274.0
2011-07-11 22:00:00-04:00,26440.0
2011-07-11 23:00:00-04:00,24401.0
2011-07-12 00:00:00-04:00,22530.0
2011-07-12 01:00:00-04:00,21249.0
2011-07-12 02:00:00-04:00,20395.0
2011-07-12 03:00:00-04:00,19819.0
2011-07-12 04:00:00-04:00,19830.0
2011-07-12 05:00:00-04:00,20315.0
2011-07-12 06:00:00-04:00,21562.0
2011-07-12 07:00:00-04:00,23699.0
2011-07-12 08:00:00-04:00,25640.0
2011-07-12 09:00:00-04:00,27163.0
2011-07-12 10:00:00-04:00,28448.0
2011-07-12 11:00:00-04:00,29413.0
2011-07-12 12:00:00-04:00,30052.0
2011-07-12 13:00:00-04:00,30684.0
2011-07-12 14:00:00-04:00,31077.0
2011-07-12 15:00:00-04:00,31380.0
2011-07-12 16:00:00-04:00,31620.0
2011-07-12 17:00:00-04:00,31452.0
2011-07-12 18:00:00-04:00,30663.0
2011-07-12 19:00:00-04:00,29625.0
2011-07-12 20:00:00-04:00,28691.0
2011-07-12 21:00:00-04:00,28366.0
2011-07-12 22:00:00-04:00,26588.0
2011-07-12 23:00:00-04:00,24248.0
2011-07-13 00:00:00-04:00,22170.0
2011-07-13 01:00:00-04:00,20709.0
2011-07-13 02:00:00-04:00,19626.0
2011-07-13 03:00:00-04:00,18965.0
2011-07-13 04:00:00-04:00,18731.0
2011-07-13 05:00:00-04:00,18996.0
2011-07-13 06:00:00-04:00,20142.0
2011-07-13 07:00:00-04:00,22202.0
2011-07-13 08:00:00-04:00,24042.0
2011-07-13 09:00:00-04:00,25224.0
2011-07-13 10:00:00-04:00,26021.0
2011-07-13 11:00:00-04:00,26447.0
2011-07-13 12:00:00-04:00,26752.0
2011-07-13 13:00:00-04:00,27071.0
2011-07-13 14:00:00-04:00,27450.0
2011-07-13 15:00:00-04:00,27694.0
2011-07-13 16:00:00-04:00,27779.0
2011-07-13 17:00:00-04:00,27546.0
2011-07-13 18:00:00-04:00,26506.0
2011-07-13 19:00:00-04:00,25234.0
2011-07-13 20:00:00-04:00,24278.0
2011-07-13 21:00:00-04:00,23933.0
2011-07-13 22:00:00-04:00,22304.0
2011-07-13 23:00:00-04:00,20260.0
2011-07-14 00:00:00-04:00,18475.0
2011-07-14 01:00:00-04:00,17269.0
2011-07-14 02:00:00-04:00,16479.0
2011-07-14 03:00:00-04:00,16075.0
2011-07-14 04:00:00-04:00,15975.0
2011-07-14 05:00:00-04:00,16323.0
2011-07-14 06:00:00-04:00,17430.0
2011-07-14 07:00:00-04:00,19342.0
2011-07-14 08:00:00-04:00,20977.0
2011-07-14 09:00:00-04:00,22135.0
2011-07-14 10:00:00-04:00,22999.0
2011-07-14 11:00:00-04:00,23593.0
2011-07-14 12:00:00-04:00,24007.0
2011-07-14 13:00:00-04:00,24430.0
2011-07-14 14:00:00-04:00,24758.0
2011-07-14 15:00:00-04:00,24966.0
2011-07-14 16:00:00-04:00,25090.0
2011-07-14 17:00:00-04:00,24694.0
2011-07-14 18:00:00-04:00,23928.0
2011-07-14 19:00:00-04:00,22953.0
2011-07-14 20:00:00-04:00,22335.0
2011-07-14 21:00:00-04:00,22308.0
2011-07-14 22:00:00-04:00,20979.0
2011-07-14 23:00:00-04:00,19265.0
2011-07-15 00:00:00-04:00,17753.0
2011-07-15 01:00:00-04:00,16712.0
2011-07-15 02:00:00-04:00,16023.0
2011-07-15 03:00:00-04:00,15640.0
