Time,PS
2018-05-01 00:00:00-04:00,3786.23
2018-05-01 01:00:00-04:00,3661.95
2018-05-01 02:00:00-04:00,3586.83
2018-05-01 03:00:00-04:00,3580.374
2018-05-01 04:00:00-04:00,3657.325
2018-05-01 05:00:00-04:00,3873.432
2018-05-01 06:00:00-04:00,4184.956
2018-05-01 07:00:00-04:00,4358.98
2018-05-01 08:00:00-04:00,4318.151
2018-05-01 09:00:00-04:00,4256.034
2018-05-01 10:00:00-04:00,4228.045
2018-05-01 11:00:00-04:00,4209.469
2018-05-01 12:00:00-04:00,4224.274
2018-05-01 13:00:00-04:00,4303.091
2018-05-01 14:00:00-04:00,4377.038
2018-05-01 15:00:00-04:00,4470.525
2018-05-01 16:00:00-04:00,4625.199
2018-05-01 17:00:00-04:00,4720.55
2018-05-01 18:00:00-04:00,4782.968
2018-05-01 19:00:00-04:00,4832.587
2018-05-01 20:00:00-04:00,4988.732
2018-05-01 21:00:00-04:00,4815.449
2018-05-01 22:00:00-04:00,4442.003
2018-05-01 23:00:00-04:00,4077.051
2018-05-02 00:00:00-04:00,3895.197
2018-05-02 01:00:00-04:00,3747.079
2018-05-02 02:00:00-04:00,3639.046
2018-05-02 03:00:00-04:00,3590.973
2018-05-02 04:00:00-04:00,3641.089
2018-05-02 05:00:00-04:00,3814.439
2018-05-02 06:00:00-04:00,4069.71
2018-05-02 07:00:00-04:00,4372.258
2018-05-02 08:00:00-04:00,4496.09
2018-05-02 09:00:00-04:00,4631.831
2018-05-02 10:00:00-04:00,4783.104
2018-05-02 11:00:00-04:00,4900.652
2018-05-02 12:00:00-04:00,5015.831
2018-05-02 13:00:00-04:00,5182.828
2018-05-02 14:00:00-04:00,5340.343
2018-05-02 15:00:00-04:00,5537.058
2018-05-02 16:00:00-04:00,5740.78
2018-05-02 17:00:00-04:00,5879.143
2018-05-02 18:00:00-04:00,5891.475
2018-05-02 19:00:00-04:00,5857.78
2018-05-02 20:00:00-04:00,5982.465
2018-05-02 21:00:00-04:00,5786.985
2018-05-02 22:00:00-04:00,5346.164
2018-05-02 23:00:00-04:00,4909.648
2018-05-03 00:00:00-04:00,4507.64
2018-05-03 01:00:00-04:00,4253.823
2018-05-03 02:00:00-04:00,4077.721
2018-05-03 03:00:00-04:00,3978.214
2018-05-03 04:00:00-04:00,3976.292
2018-05-03 05:00:00-04:00,4157.893
2018-05-03 06:00:00-04:00,4439.526
2018-05-03 07:00:00-04:00,4785.295
2018-05-03 08:00:00-04:00,5021.072
2018-05-03 09:00:00-04:00,5238.046
2018-05-03 10:00:00-04:00,5533.091
2018-05-03 11:00:00-04:00,5806.085
2018-05-03 12:00:00-04:00,6074.785
2018-05-03 13:00:00-04:00,6374.588
2018-05-03 14:00:00-04:00,6639.423
2018-05-03 15:00:00-04:00,6950.833
2018-05-03 16:00:00-04:00,7201.879
2018-05-03 17:00:00-04:00,7316.779
2018-05-03 18:00:00-04:00,7263.485
2018-05-03 19:00:00-04:00,7036.058
2018-05-03 20:00:00-04:00,6926.586
2018-05-03 21:00:00-04:00,6653.827
2018-05-03 22:00:00-04:00,6152.527
2018-05-03 23:00:00-04:00,5637.818
2018-05-04 00:00:00-04:00,5180.808
2018-05-04 01:00:00-04:00,4875.717
2018-05-04 02:00:00-04:00,4671.857
2018-05-04 03:00:00-04:00,4548.124
2018-05-04 04:00:00-04:00,4511.615
2018-05-04 05:00:00-04:00,4656.112
2018-05-04 06:00:00-04:00,4922.962
2018-05-04 07:00:00-04:00,5334.066
