Issue_time,Forecast_time,RTO
2011-06-01 11:00:00-04:00,2011-06-01 12:00:00-04:00,123784.0
2011-06-01 11:00:00-04:00,2011-06-01 13:00:00-04:00,126044.0
2011-06-01 11:00:00-04:00,2011-06-01 14:00:00-04:00,127567.0
2011-06-01 11:00:00-04:00,2011-06-01 15:00:00-04:00,128175.0
2011-06-01 11:00:00-04:00,2011-06-01 16:00:00-04:00,127875.0
2011-06-01 11:00:00-04:00,2011-06-01 17:00:00-04:00,125668.0
2011-06-01 11:00:00-04:00,2011-06-01 18:00:00-04:00,121495.0
2011-06-01 11:00:00-04:00,2011-06-01 19:00:00-04:00,117665.0
2011-06-01 11:00:00-04:00,2011-06-01 20:00:00-04:00,116825.0
2011-06-01 11:00:00-04:00,2011-06-01 21:00:00-04:00,112357.0
2011-06-01 11:00:00-04:00,2011-06-01 22:00:00-04:00,103277.0
2011-06-01 11:00:00-04:00,2011-06-01 23:00:00-04:00,93854.0
2011-06-02 11:00:00-04:00,2011-06-02 12:00:00-04:00,101378.0
2011-06-02 11:00:00-04:00,2011-06-02 13:00:00-04:00,101767.0
2011-06-02 11:00:00-04:00,2011-06-02 14:00:00-04:00,101678.0
2011-06-02 11:00:00-04:00,2011-06-02 15:00:00-04:00,101382.0
2011-06-02 11:00:00-04:00,2011-06-02 16:00:00-04:00,100913.0
2011-06-02 11:00:00-04:00,2011-06-02 17:00:00-04:00,99370.0
2011-06-02 11:00:00-04:00,2011-06-02 18:00:00-04:00,96798.0
2011-06-02 11:00:00-04:00,2011-06-02 19:00:00-04:00,94734.0
2011-06-02 11:00:00-04:00,2011-06-02 20:00:00-04:00,94495.0
2011-06-02 11:00:00-04:00,2011-06-02 21:00:00-04:00,92161.0
2011-06-02 11:00:00-04:00,2011-06-02 22:00:00-04:00,85676.0
2011-06-02 11:00:00-04:00,2011-06-02 23:00:00-04:00,78157.0
2011-06-03 11:00:00-04:00,2011-06-03 12:00:00-04:00,94585.0
2011-06-03 11:00:00-04:00,2011-06-03 13:00:00-04:00,96479.0
2011-06-03 11:00:00-04:00,2011-06-03 14:00:00-04:00,97915.0
2011-06-03 11:00:00-04:00,2011-06-03 15:00:00-04:00,98914.0
2011-06-03 11:00:00-04:00,2011-06-03 16:00:00-04:00,99443.0
2011-06-03 11:00:00-04:00,2011-06-03 17:00:00-04:00,98562.0
2011-06-03 11:00:00-04:00,2011-06-03 18:00:00-04:00,96141.0
2011-06-03 11:00:00-04:00,2011-06-03 19:00:00-04:00,93598.0
2011-06-03 11:00:00-04:00,2011-06-03 20:00:00-04:00,92422.0
2011-06-03 11:00:00-04:00,2011-06-03 21:00:00-04:00,90369.0
2011-06-03 11:00:00-04:00,2011-06-03 22:00:00-04:00,84507.0
2011-06-03 11:00:00-04:00,2011-06-03 23:00:00-04:00,77271.0
2011-06-04 11:00:00-04:00,2011-06-04 12:00:00-04:00,90138.0
2011-06-04 11:00:00-04:00,2011-06-04 13:00:00-04:00,91090.0
2011-06-04 11:00:00-04:00,2011-06-04 14:00:00-04:00,91866.0
2011-06-04 11:00:00-04:00,2011-06-04 15:00:00-04:00,92688.0
2011-06-04 11:00:00-04:00,2011-06-04 16:00:00-04:00,93583.0
2011-06-04 11:00:00-04:00,2011-06-04 17:00:00-04:00,93751.0
2011-06-04 11:00:00-04:00,2011-06-04 18:00:00-04:00,92159.0
2011-06-04 11:00:00-04:00,2011-06-04 19:00:00-04:00,89865.0
2011-06-04 11:00:00-04:00,2011-06-04 20:00:00-04:00,89135.0
2011-06-04 11:00:00-04:00,2011-06-04 21:00:00-04:00,88341.0
2011-06-04 11:00:00-04:00,2011-06-04 22:00:00-04:00,83449.0
2011-06-04 11:00:00-04:00,2011-06-04 23:00:00-04:00,77284.0
2011-06-05 11:00:00-04:00,2011-06-05 12:00:00-04:00,88704.0
2011-06-05 11:00:00-04:00,2011-06-05 13:00:00-04:00,91880.0
2011-06-05 11:00:00-04:00,2011-06-05 14:00:00-04:00,94025.0
2011-06-05 11:00:00-04:00,2011-06-05 15:00:00-04:00,95917.0
2011-06-05 11:00:00-04:00,2011-06-05 16:00:00-04:00,97215.0
2011-06-05 11:00:00-04:00,2011-06-05 17:00:00-04:00,97623.0
2011-06-05 11:00:00-04:00,2011-06-05 18:00:00-04:00,96200.0
2011-06-05 11:00:00-04:00,2011-06-05 19:00:00-04:00,94275.0
2011-06-05 11:00:00-04:00,2011-06-05 20:00:00-04:00,94139.0
2011-06-05 11:00:00-04:00,2011-06-05 21:00:00-04:00,93468.0
2011-06-05 11:00:00-04:00,2011-06-05 22:00:00-04:00,87797.0
2011-06-05 11:00:00-04:00,2011-06-05 23:00:00-04:00,80755.0
2011-06-06 11:00:00-04:00,2011-06-06 12:00:00-04:00,107503.0
2011-06-06 11:00:00-04:00,2011-06-06 13:00:00-04:00,110661.0
2011-06-06 11:00:00-04:00,2011-06-06 14:00:00-04:00,113102.0
2011-06-06 11:00:00-04:00,2011-06-06 15:00:00-04:00,115002.0
2011-06-06 11:00:00-04:00,2011-06-06 16:00:00-04:00,116065.0
2011-06-06 11:00:00-04:00,2011-06-06 17:00:00-04:00,115570.0
2011-06-06 11:00:00-04:00,2011-06-06 18:00:00-04:00,113101.0
2011-06-06 11:00:00-04:00,2011-06-06 19:00:00-04:00,109489.0
2011-06-06 11:00:00-04:00,2011-06-06 20:00:00-04:00,107300.0
2011-06-06 11:00:00-04:00,2011-06-06 21:00:00-04:00,104949.0
2011-06-06 11:00:00-04:00,2011-06-06 22:00:00-04:00,97204.0
2011-06-06 11:00:00-04:00,2011-06-06 23:00:00-04:00,87845.0
2011-06-07 11:00:00-04:00,2011-06-07 12:00:00-04:00,119159.0
2011-06-07 11:00:00-04:00,2011-06-07 13:00:00-04:00,124206.0
2011-06-07 11:00:00-04:00,2011-06-07 14:00:00-04:00,127855.0
2011-06-07 11:00:00-04:00,2011-06-07 15:00:00-04:00,130666.0
2011-06-07 11:00:00-04:00,2011-06-07 16:00:00-04:00,132432.0
2011-06-07 11:00:00-04:00,2011-06-07 17:00:00-04:00,132474.0
2011-06-07 11:00:00-04:00,2011-06-07 18:00:00-04:00,129413.0
2011-06-07 11:00:00-04:00,2011-06-07 19:00:00-04:00,124970.0
