evaluated_at_utc,evaluated_at_ept,forecast_hour_beginning_utc,forecast_hour_beginning_ept,Forecast
2018-06-02 03:45:00+00:00,2018-06-01 23:45:00-04:00,2018-06-03 01:00:00+00:00,2018-06-02 21:00:00-04:00,33325
2018-06-02 03:45:00+00:00,2018-06-01 23:45:00-04:00,2018-06-03 02:00:00+00:00,2018-06-02 22:00:00-04:00,31388
2018-06-02 03:45:00+00:00,2018-06-01 23:45:00-04:00,2018-06-03 03:00:00+00:00,2018-06-02 23:00:00-04:00,29107
2018-06-03 03:45:00+00:00,2018-06-02 23:45:00-04:00,2018-06-03 04:00:00+00:00,2018-06-03 00:00:00-04:00,26535
2018-06-03 03:45:00+00:00,2018-06-02 23:45:00-04:00,2018-06-03 05:00:00+00:00,2018-06-03 01:00:00-04:00,24920
2018-06-03 03:45:00+00:00,2018-06-02 23:45:00-04:00,2018-06-03 06:00:00+00:00,2018-06-03 02:00:00-04:00,23809
2018-06-03 03:45:00+00:00,2018-06-02 23:45:00-04:00,2018-06-03 07:00:00+00:00,2018-06-03 03:00:00-04:00,23150
2018-06-03 03:45:00+00:00,2018-06-02 23:45:00-04:00,2018-06-03 08:00:00+00:00,2018-06-03 04:00:00-04:00,22786
2018-06-03 03:45:00+00:00,2018-06-02 23:45:00-04:00,2018-06-03 09:00:00+00:00,2018-06-03 05:00:00-04:00,22847
2018-06-03 03:45:00+00:00,2018-06-02 23:45:00-04:00,2018-06-03 10:00:00+00:00,2018-06-03 06:00:00-04:00,23051
2018-06-03 03:45:00+00:00,2018-06-02 23:45:00-04:00,2018-06-03 11:00:00+00:00,2018-06-03 07:00:00-04:00,23878
2018-06-03 03:45:00+00:00,2018-06-02 23:45:00-04:00,2018-06-03 12:00:00+00:00,2018-06-03 08:00:00-04:00,25283
2018-06-03 03:45:00+00:00,2018-06-02 23:45:00-04:00,2018-06-03 13:00:00+00:00,2018-06-03 09:00:00-04:00,26464
2018-06-03 03:45:00+00:00,2018-06-02 23:45:00-04:00,2018-06-03 14:00:00+00:00,2018-06-03 10:00:00-04:00,27183
2018-06-03 03:45:00+00:00,2018-06-02 23:45:00-04:00,2018-06-03 15:00:00+00:00,2018-06-03 11:00:00-04:00,27659
2018-06-03 03:45:00+00:00,2018-06-02 23:45:00-04:00,2018-06-03 16:00:00+00:00,2018-06-03 12:00:00-04:00,27869
2018-06-03 03:45:00+00:00,2018-06-02 23:45:00-04:00,2018-06-03 17:00:00+00:00,2018-06-03 13:00:00-04:00,27963
2018-06-03 03:45:00+00:00,2018-06-02 23:45:00-04:00,2018-06-03 18:00:00+00:00,2018-06-03 14:00:00-04:00,28058
