Time,MIDATL
2018-05-01 00:00:00-04:00,22772.080999999995
2018-05-01 01:00:00-04:00,22115.336000000003
2018-05-01 02:00:00-04:00,21849.055000000004
2018-05-01 03:00:00-04:00,21964.592
2018-05-01 04:00:00-04:00,22792.111
2018-05-01 05:00:00-04:00,24773.436
2018-05-01 06:00:00-04:00,27563.127
2018-05-01 07:00:00-04:00,28629.987
2018-05-01 08:00:00-04:00,28067.402
2018-05-01 09:00:00-04:00,27570.473
2018-05-01 10:00:00-04:00,27409.591
2018-05-01 11:00:00-04:00,27243.584000000003
2018-05-01 12:00:00-04:00,27221.237
2018-05-01 13:00:00-04:00,27449.930000000004
2018-05-01 14:00:00-04:00,27558.813999999995
2018-05-01 15:00:00-04:00,27880.986
2018-05-01 16:00:00-04:00,28548.295
2018-05-01 17:00:00-04:00,29121.863
2018-05-01 18:00:00-04:00,29220.782
2018-05-01 19:00:00-04:00,29292.266
2018-05-01 20:00:00-04:00,30191.765000000003
2018-05-01 21:00:00-04:00,28964.52
2018-05-01 22:00:00-04:00,26601.041
2018-05-01 23:00:00-04:00,24308.568
2018-05-02 00:00:00-04:00,22578.016
2018-05-02 01:00:00-04:00,21549.117
2018-05-02 02:00:00-04:00,20947.606
2018-05-02 03:00:00-04:00,20761.531000000003
2018-05-02 04:00:00-04:00,21233.649
2018-05-02 05:00:00-04:00,22978.191999999995
2018-05-02 06:00:00-04:00,25486.176
2018-05-02 07:00:00-04:00,27168.549000000003
2018-05-02 08:00:00-04:00,27684.153
2018-05-02 09:00:00-04:00,28223.563
2018-05-02 10:00:00-04:00,28964.766
2018-05-02 11:00:00-04:00,29633.426000000003
2018-05-02 12:00:00-04:00,30249.357
2018-05-02 13:00:00-04:00,31027.063
2018-05-02 14:00:00-04:00,31768.035
2018-05-02 15:00:00-04:00,32603.03
2018-05-02 16:00:00-04:00,33550.066
2018-05-02 17:00:00-04:00,34233.795000000006
2018-05-02 18:00:00-04:00,34093.364
2018-05-02 19:00:00-04:00,33732.641
2018-05-02 20:00:00-04:00,34345.825000000004
2018-05-02 21:00:00-04:00,33058.823
2018-05-02 22:00:00-04:00,30145.025
2018-05-02 23:00:00-04:00,27296.22
2018-05-03 00:00:00-04:00,25048.178000000004
2018-05-03 01:00:00-04:00,23683.433
2018-05-03 02:00:00-04:00,22828.120000000003
2018-05-03 03:00:00-04:00,22594.691000000003
2018-05-03 04:00:00-04:00,22630.785000000003
2018-05-03 05:00:00-04:00,24257.16
2018-05-03 06:00:00-04:00,26734.268
2018-05-03 07:00:00-04:00,28768.299
2018-05-03 08:00:00-04:00,29986.591
2018-05-03 09:00:00-04:00,31205.09900000001
2018-05-03 10:00:00-04:00,32456.051000000003
2018-05-03 11:00:00-04:00,33984.9
