Issue_time,Forecast_time,RTO
2011-05-31 23:00:00-04:00,2011-06-01 00:00:00-04:00,91630.0
2011-05-31 23:00:00-04:00,2011-06-01 01:00:00-04:00,86029.0
2011-05-31 23:00:00-04:00,2011-06-01 02:00:00-04:00,82395.0
2011-05-31 23:00:00-04:00,2011-06-01 03:00:00-04:00,80396.0
2011-05-31 23:00:00-04:00,2011-06-01 04:00:00-04:00,80414.0
2011-05-31 23:00:00-04:00,2011-06-01 05:00:00-04:00,83989.0
2011-05-31 23:00:00-04:00,2011-06-01 06:00:00-04:00,90839.0
2011-05-31 23:00:00-04:00,2011-06-01 07:00:00-04:00,96797.0
2011-05-31 23:00:00-04:00,2011-06-01 08:00:00-04:00,101778.0
2011-05-31 23:00:00-04:00,2011-06-01 09:00:00-04:00,107084.0
2011-05-31 23:00:00-04:00,2011-06-01 10:00:00-04:00,112249.0
2011-05-31 23:00:00-04:00,2011-06-01 11:00:00-04:00,116753.0
2011-05-31 23:00:00-04:00,2011-06-01 12:00:00-04:00,120351.0
2011-05-31 23:00:00-04:00,2011-06-01 13:00:00-04:00,123358.0
2011-05-31 23:00:00-04:00,2011-06-01 14:00:00-04:00,125267.0
2011-05-31 23:00:00-04:00,2011-06-01 15:00:00-04:00,126171.0
2011-05-31 23:00:00-04:00,2011-06-01 16:00:00-04:00,126224.0
2011-05-31 23:00:00-04:00,2011-06-01 17:00:00-04:00,124647.0
2011-05-31 23:00:00-04:00,2011-06-01 18:00:00-04:00,121026.0
2011-05-31 23:00:00-04:00,2011-06-01 19:00:00-04:00,117605.0
2011-05-31 23:00:00-04:00,2011-06-01 20:00:00-04:00,116999.0
2011-05-31 23:00:00-04:00,2011-06-01 21:00:00-04:00,112457.0
2011-05-31 23:00:00-04:00,2011-06-01 22:00:00-04:00,103031.0
2011-05-31 23:00:00-04:00,2011-06-01 23:00:00-04:00,93516.0
2011-06-01 23:00:00-04:00,2011-06-02 00:00:00-04:00,85944.0
2011-06-01 23:00:00-04:00,2011-06-02 01:00:00-04:00,80628.0
2011-06-01 23:00:00-04:00,2011-06-02 02:00:00-04:00,77413.0
2011-06-01 23:00:00-04:00,2011-06-02 03:00:00-04:00,75371.0
2011-06-01 23:00:00-04:00,2011-06-02 04:00:00-04:00,75364.0
2011-06-01 23:00:00-04:00,2011-06-02 05:00:00-04:00,78449.0
2011-06-01 23:00:00-04:00,2011-06-02 06:00:00-04:00,85540.0
2011-06-01 23:00:00-04:00,2011-06-02 07:00:00-04:00,90743.0
2011-06-01 23:00:00-04:00,2011-06-02 08:00:00-04:00,94562.0
2011-06-01 23:00:00-04:00,2011-06-02 09:00:00-04:00,97918.0
2011-06-01 23:00:00-04:00,2011-06-02 10:00:00-04:00,101085.0
2011-06-01 23:00:00-04:00,2011-06-02 11:00:00-04:00,103637.0
2011-06-01 23:00:00-04:00,2011-06-02 12:00:00-04:00,105443.0
2011-06-01 23:00:00-04:00,2011-06-02 13:00:00-04:00,106962.0
2011-06-01 23:00:00-04:00,2011-06-02 14:00:00-04:00,107806.0
2011-06-01 23:00:00-04:00,2011-06-02 15:00:00-04:00,108445.0
2011-06-01 23:00:00-04:00,2011-06-02 16:00:00-04:00,108385.0
2011-06-01 23:00:00-04:00,2011-06-02 17:00:00-04:00,106869.0
2011-06-01 23:00:00-04:00,2011-06-02 18:00:00-04:00,103901.0
2011-06-01 23:00:00-04:00,2011-06-02 19:00:00-04:00,101510.0
2011-06-01 23:00:00-04:00,2011-06-02 20:00:00-04:00,101117.0
2011-06-01 23:00:00-04:00,2011-06-02 21:00:00-04:00,97827.0
2011-06-01 23:00:00-04:00,2011-06-02 22:00:00-04:00,90707.0
2011-06-01 23:00:00-04:00,2011-06-02 23:00:00-04:00,82960.0
2011-06-02 23:00:00-04:00,2011-06-03 00:00:00-04:00,73998.0
2011-06-02 23:00:00-04:00,2011-06-03 01:00:00-04:00,70092.0
2011-06-02 23:00:00-04:00,2011-06-03 02:00:00-04:00,67686.0
2011-06-02 23:00:00-04:00,2011-06-03 03:00:00-04:00,66457.0
2011-06-02 23:00:00-04:00,2011-06-03 04:00:00-04:00,67014.0
2011-06-02 23:00:00-04:00,2011-06-03 05:00:00-04:00,70313.0
2011-06-02 23:00:00-04:00,2011-06-03 06:00:00-04:00,76639.0
2011-06-02 23:00:00-04:00,2011-06-03 07:00:00-04:00,82421.0
2011-06-02 23:00:00-04:00,2011-06-03 08:00:00-04:00,86340.0
2011-06-02 23:00:00-04:00,2011-06-03 09:00:00-04:00,89694.0
2011-06-02 23:00:00-04:00,2011-06-03 10:00:00-04:00,92979.0
2011-06-02 23:00:00-04:00,2011-06-03 11:00:00-04:00,95815.0
2011-06-02 23:00:00-04:00,2011-06-03 12:00:00-04:00,98012.0
2011-06-02 23:00:00-04:00,2011-06-03 13:00:00-04:00,99658.0
2011-06-02 23:00:00-04:00,2011-06-03 14:00:00-04:00,100898.0
2011-06-02 23:00:00-04:00,2011-06-03 15:00:00-04:00,101494.0
2011-06-02 23:00:00-04:00,2011-06-03 16:00:00-04:00,101521.0
2011-06-02 23:00:00-04:00,2011-06-03 17:00:00-04:00,100421.0
2011-06-02 23:00:00-04:00,2011-06-03 18:00:00-04:00,97921.0
2011-06-02 23:00:00-04:00,2011-06-03 19:00:00-04:00,95493.0
2011-06-02 23:00:00-04:00,2011-06-03 20:00:00-04:00,94500.0
2011-06-02 23:00:00-04:00,2011-06-03 21:00:00-04:00,92704.0
2011-06-02 23:00:00-04:00,2011-06-03 22:00:00-04:00,86221.0
2011-06-02 23:00:00-04:00,2011-06-03 23:00:00-04:00,78751.0
2011-06-03 23:00:00-04:00,2011-06-04 00:00:00-04:00,69529.0
2011-06-03 23:00:00-04:00,2011-06-04 01:00:00-04:00,65399.0
2011-06-03 23:00:00-04:00,2011-06-04 02:00:00-04:00,62813.0
2011-06-03 23:00:00-04:00,2011-06-04 03:00:00-04:00,61281.0
2011-06-03 23:00:00-04:00,2011-06-04 04:00:00-04:00,60762.0
2011-06-03 23:00:00-04:00,2011-06-04 05:00:00-04:00,61416.0
2011-06-03 23:00:00-04:00,2011-06-04 06:00:00-04:00,62562.0
2011-06-03 23:00:00-04:00,2011-06-04 07:00:00-04:00,66759.0
2011-06-03 23:00:00-04:00,2011-06-04 08:00:00-04:00,72159.0
2011-06-03 23:00:00-04:00,2011-06-04 09:00:00-04:00,77598.0
2011-06-03 23:00:00-04:00,2011-06-04 10:00:00-04:00,81727.0
2011-06-03 23:00:00-04:00,2011-06-04 11:00:00-04:00,84878.0
2011-06-03 23:00:00-04:00,2011-06-04 12:00:00-04:00,86772.0
2011-06-03 23:00:00-04:00,2011-06-04 13:00:00-04:00,88124.0
2011-06-03 23:00:00-04:00,2011-06-04 14:00:00-04:00,89197.0
2011-06-03 23:00:00-04:00,2011-06-04 15:00:00-04:00,90280.0
2011-06-03 23:00:00-04:00,2011-06-04 16:00:00-04:00,91274.0
2011-06-03 23:00:00-04:00,2011-06-04 17:00:00-04:00,91530.0
2011-06-03 23:00:00-04:00,2011-06-04 18:00:00-04:00,90302.0
2011-06-03 23:00:00-04:00,2011-06-04 19:00:00-04:00,88276.0
2011-06-03 23:00:00-04:00,2011-06-04 20:00:00-04:00,87678.0
2011-06-03 23:00:00-04:00,2011-06-04 21:00:00-04:00,86901.0
2011-06-03 23:00:00-04:00,2011-06-04 22:00:00-04:00,81411.0
2011-06-03 23:00:00-04:00,2011-06-04 23:00:00-04:00,75322.0
2011-06-04 23:00:00-04:00,2011-06-05 00:00:00-04:00,72505.0
2011-06-04 23:00:00-04:00,2011-06-05 01:00:00-04:00,68151.0
2011-06-04 23:00:00-04:00,2011-06-05 02:00:00-04:00,65391.0
2011-06-04 23:00:00-04:00,2011-06-05 03:00:00-04:00,63566.0
2011-06-04 23:00:00-04:00,2011-06-05 04:00:00-04:00,62695.0
2011-06-04 23:00:00-04:00,2011-06-05 05:00:00-04:00,62526.0
2011-06-04 23:00:00-04:00,2011-06-05 06:00:00-04:00,62789.0
2011-06-04 23:00:00-04:00,2011-06-05 07:00:00-04:00,66108.0
2011-06-04 23:00:00-04:00,2011-06-05 08:00:00-04:00,71908.0
2011-06-04 23:00:00-04:00,2011-06-05 09:00:00-04:00,77689.0
2011-06-04 23:00:00-04:00,2011-06-05 10:00:00-04:00,82806.0
2011-06-04 23:00:00-04:00,2011-06-05 11:00:00-04:00,86970.0
2011-06-04 23:00:00-04:00,2011-06-05 12:00:00-04:00,90086.0
2011-06-04 23:00:00-04:00,2011-06-05 13:00:00-04:00,92154.0
2011-06-04 23:00:00-04:00,2011-06-05 14:00:00-04:00,93534.0
2011-06-04 23:00:00-04:00,2011-06-05 15:00:00-04:00,94777.0
2011-06-04 23:00:00-04:00,2011-06-05 16:00:00-04:00,95882.0
2011-06-04 23:00:00-04:00,2011-06-05 17:00:00-04:00,96296.0
2011-06-04 23:00:00-04:00,2011-06-05 18:00:00-04:00,94900.0
2011-06-04 23:00:00-04:00,2011-06-05 19:00:00-04:00,93008.0
2011-06-04 23:00:00-04:00,2011-06-05 20:00:00-04:00,92903.0
2011-06-04 23:00:00-04:00,2011-06-05 21:00:00-04:00,92526.0
2011-06-04 23:00:00-04:00,2011-06-05 22:00:00-04:00,86843.0
2011-06-04 23:00:00-04:00,2011-06-05 23:00:00-04:00,79905.0
2011-06-05 23:00:00-04:00,2011-06-06 00:00:00-04:00,72949.0
2011-06-05 23:00:00-04:00,2011-06-06 01:00:00-04:00,68931.0
2011-06-05 23:00:00-04:00,2011-06-06 02:00:00-04:00,66742.0
2011-06-05 23:00:00-04:00,2011-06-06 03:00:00-04:00,65582.0
2011-06-05 23:00:00-04:00,2011-06-06 04:00:00-04:00,65968.0
2011-06-05 23:00:00-04:00,2011-06-06 05:00:00-04:00,69085.0
2011-06-05 23:00:00-04:00,2011-06-06 06:00:00-04:00,74413.0
2011-06-05 23:00:00-04:00,2011-06-06 07:00:00-04:00,80835.0
2011-06-05 23:00:00-04:00,2011-06-06 08:00:00-04:00,86768.0
2011-06-05 23:00:00-04:00,2011-06-06 09:00:00-04:00,92201.0
2011-06-05 23:00:00-04:00,2011-06-06 10:00:00-04:00,97464.0
2011-06-05 23:00:00-04:00,2011-06-06 11:00:00-04:00,101802.0
2011-06-05 23:00:00-04:00,2011-06-06 12:00:00-04:00,105345.0
2011-06-05 23:00:00-04:00,2011-06-06 13:00:00-04:00,108561.0
2011-06-05 23:00:00-04:00,2011-06-06 14:00:00-04:00,111006.0
2011-06-05 23:00:00-04:00,2011-06-06 15:00:00-04:00,112719.0
2011-06-05 23:00:00-04:00,2011-06-06 16:00:00-04:00,113829.0
2011-06-05 23:00:00-04:00,2011-06-06 17:00:00-04:00,113377.0
2011-06-05 23:00:00-04:00,2011-06-06 18:00:00-04:00,110639.0
2011-06-05 23:00:00-04:00,2011-06-06 19:00:00-04:00,107013.0
2011-06-05 23:00:00-04:00,2011-06-06 20:00:00-04:00,104333.0
2011-06-05 23:00:00-04:00,2011-06-06 21:00:00-04:00,103160.0
2011-06-05 23:00:00-04:00,2011-06-06 22:00:00-04:00,95115.0
2011-06-05 23:00:00-04:00,2011-06-06 23:00:00-04:00,86138.0
2011-06-06 23:00:00-04:00,2011-06-07 00:00:00-04:00,82509.0
2011-06-06 23:00:00-04:00,2011-06-07 01:00:00-04:00,77237.0
2011-06-06 23:00:00-04:00,2011-06-07 02:00:00-04:00,73913.0
2011-06-06 23:00:00-04:00,2011-06-07 03:00:00-04:00,72089.0
2011-06-06 23:00:00-04:00,2011-06-07 04:00:00-04:00,72127.0
2011-06-06 23:00:00-04:00,2011-06-07 05:00:00-04:00,75413.0
2011-06-06 23:00:00-04:00,2011-06-07 06:00:00-04:00,81712.0
2011-06-06 23:00:00-04:00,2011-06-07 07:00:00-04:00,88733.0
2011-06-06 23:00:00-04:00,2011-06-07 08:00:00-04:00,96023.0
2011-06-06 23:00:00-04:00,2011-06-07 09:00:00-04:00,102503.0
2011-06-06 23:00:00-04:00,2011-06-07 10:00:00-04:00,109180.0
2011-06-06 23:00:00-04:00,2011-06-07 11:00:00-04:00,115344.0
